text,entities
There is a bear in the picture.,"[(11, 15, 'ANIMAL')]"
I can see a bear in this image.,"[(12, 16, 'ANIMAL')]"
The picture shows a bear.,"[(20, 24, 'ANIMAL')]"
Look at this bear.,"[(13, 17, 'ANIMAL')]"
Can you spot the bear in this photo?,"[(17, 21, 'ANIMAL')]"
This is a photo of a bear.,"[(21, 25, 'ANIMAL')]"
The bear is clearly visible in the image.,"[(4, 8, 'ANIMAL')]"
There's a bear in the foreground.,"[(10, 14, 'ANIMAL')]"
I believe this image contains a bear.,"[(32, 36, 'ANIMAL')]"
Is there a bear in this picture?,"[(11, 15, 'ANIMAL')]"
There is a beaver in the picture.,"[(11, 17, 'ANIMAL')]"
I can see a beaver in this image.,"[(12, 18, 'ANIMAL')]"
The picture shows a beaver.,"[(20, 26, 'ANIMAL')]"
Look at this beaver.,"[(13, 19, 'ANIMAL')]"
Can you spot the beaver in this photo?,"[(17, 23, 'ANIMAL')]"
This is a photo of a beaver.,"[(21, 27, 'ANIMAL')]"
The beaver is clearly visible in the image.,"[(4, 10, 'ANIMAL')]"
There's a beaver in the foreground.,"[(10, 16, 'ANIMAL')]"
I believe this image contains a beaver.,"[(32, 38, 'ANIMAL')]"
Is there a beaver in this picture?,"[(11, 17, 'ANIMAL')]"
There is a chimpanzee in the picture.,"[(11, 21, 'ANIMAL')]"
I can see a chimpanzee in this image.,"[(12, 22, 'ANIMAL')]"
The picture shows a chimpanzee.,"[(20, 30, 'ANIMAL')]"
Look at this chimpanzee.,"[(13, 23, 'ANIMAL')]"
Can you spot the chimpanzee in this photo?,"[(17, 27, 'ANIMAL')]"
This is a photo of a chimpanzee.,"[(21, 31, 'ANIMAL')]"
The chimpanzee is clearly visible in the image.,"[(4, 14, 'ANIMAL')]"
There's a chimpanzee in the foreground.,"[(10, 20, 'ANIMAL')]"
I believe this image contains a chimpanzee.,"[(32, 42, 'ANIMAL')]"
Is there a chimpanzee in this picture?,"[(11, 21, 'ANIMAL')]"
There is a fox in the picture.,"[(11, 14, 'ANIMAL')]"
I can see a fox in this image.,"[(12, 15, 'ANIMAL')]"
The picture shows a fox.,"[(20, 23, 'ANIMAL')]"
Look at this fox.,"[(13, 16, 'ANIMAL')]"
Can you spot the fox in this photo?,"[(17, 20, 'ANIMAL')]"
This is a photo of a fox.,"[(21, 24, 'ANIMAL')]"
The fox is clearly visible in the image.,"[(4, 7, 'ANIMAL')]"
There's a fox in the foreground.,"[(10, 13, 'ANIMAL')]"
I believe this image contains a fox.,"[(32, 35, 'ANIMAL')]"
Is there a fox in this picture?,"[(11, 14, 'ANIMAL')]"
There is a kangaroo in the picture.,"[(11, 19, 'ANIMAL')]"
I can see a kangaroo in this image.,"[(12, 20, 'ANIMAL')]"
The picture shows a kangaroo.,"[(20, 28, 'ANIMAL')]"
Look at this kangaroo.,"[(13, 21, 'ANIMAL')]"
Can you spot the kangaroo in this photo?,"[(17, 25, 'ANIMAL')]"
This is a photo of a kangaroo.,"[(21, 29, 'ANIMAL')]"
The kangaroo is clearly visible in the image.,"[(4, 12, 'ANIMAL')]"
There's a kangaroo in the foreground.,"[(10, 18, 'ANIMAL')]"
I believe this image contains a kangaroo.,"[(32, 40, 'ANIMAL')]"
Is there a kangaroo in this picture?,"[(11, 19, 'ANIMAL')]"
There is a lion in the picture.,"[(11, 15, 'ANIMAL')]"
I can see a lion in this image.,"[(12, 16, 'ANIMAL')]"
The picture shows a lion.,"[(20, 24, 'ANIMAL')]"
Look at this lion.,"[(13, 17, 'ANIMAL')]"
Can you spot the lion in this photo?,"[(17, 21, 'ANIMAL')]"
This is a photo of a lion.,"[(21, 25, 'ANIMAL')]"
The lion is clearly visible in the image.,"[(4, 8, 'ANIMAL')]"
There's a lion in the foreground.,"[(10, 14, 'ANIMAL')]"
I believe this image contains a lion.,"[(32, 36, 'ANIMAL')]"
Is there a lion in this picture?,"[(11, 15, 'ANIMAL')]"
There is a otter in the picture.,"[(11, 16, 'ANIMAL')]"
I can see a otter in this image.,"[(12, 17, 'ANIMAL')]"
The picture shows a otter.,"[(20, 25, 'ANIMAL')]"
Look at this otter.,"[(13, 18, 'ANIMAL')]"
Can you spot the otter in this photo?,"[(17, 22, 'ANIMAL')]"
This is a photo of a otter.,"[(21, 26, 'ANIMAL')]"
The otter is clearly visible in the image.,"[(4, 9, 'ANIMAL')]"
There's a otter in the foreground.,"[(10, 15, 'ANIMAL')]"
I believe this image contains a otter.,"[(32, 37, 'ANIMAL')]"
Is there a otter in this picture?,"[(11, 16, 'ANIMAL')]"
There is a porcupine in the picture.,"[(11, 20, 'ANIMAL')]"
I can see a porcupine in this image.,"[(12, 21, 'ANIMAL')]"
The picture shows a porcupine.,"[(20, 29, 'ANIMAL')]"
Look at this porcupine.,"[(13, 22, 'ANIMAL')]"
Can you spot the porcupine in this photo?,"[(17, 26, 'ANIMAL')]"
This is a photo of a porcupine.,"[(21, 30, 'ANIMAL')]"
The porcupine is clearly visible in the image.,"[(4, 13, 'ANIMAL')]"
There's a porcupine in the foreground.,"[(10, 19, 'ANIMAL')]"
I believe this image contains a porcupine.,"[(32, 41, 'ANIMAL')]"
Is there a porcupine in this picture?,"[(11, 20, 'ANIMAL')]"
There is a raccoon in the picture.,"[(11, 18, 'ANIMAL')]"
I can see a raccoon in this image.,"[(12, 19, 'ANIMAL')]"
The picture shows a raccoon.,"[(20, 27, 'ANIMAL')]"
Look at this raccoon.,"[(13, 20, 'ANIMAL')]"
Can you spot the raccoon in this photo?,"[(17, 24, 'ANIMAL')]"
This is a photo of a raccoon.,"[(21, 28, 'ANIMAL')]"
The raccoon is clearly visible in the image.,"[(4, 11, 'ANIMAL')]"
There's a raccoon in the foreground.,"[(10, 17, 'ANIMAL')]"
I believe this image contains a raccoon.,"[(32, 39, 'ANIMAL')]"
Is there a raccoon in this picture?,"[(11, 18, 'ANIMAL')]"
There is a wolf in the picture.,"[(11, 15, 'ANIMAL')]"
I can see a wolf in this image.,"[(12, 16, 'ANIMAL')]"
The picture shows a wolf.,"[(20, 24, 'ANIMAL')]"
Look at this wolf.,"[(13, 17, 'ANIMAL')]"
Can you spot the wolf in this photo?,"[(17, 21, 'ANIMAL')]"
This is a photo of a wolf.,"[(21, 25, 'ANIMAL')]"
The wolf is clearly visible in the image.,"[(4, 8, 'ANIMAL')]"
There's a wolf in the foreground.,"[(10, 14, 'ANIMAL')]"
I believe this image contains a wolf.,"[(32, 36, 'ANIMAL')]"
Is there a wolf in this picture?,"[(11, 15, 'ANIMAL')]"
This is a beautiful landscape.,[]
I can see a car in this image.,[]
The picture shows a building.,[]
There is a tree in the foreground.,[]
This is a photo of the beach.,[]
